313000	301110	1	0
313000	301201	1	0
313000	313101	1	0
313000	313102	1	0
313000	313103	1	0
313000	313104	1	0
313000	313105	1	0
313000	313106	1	0
313000	313107	1	0
313000	313108	1	0
313000	313109	1	0
313000	313110	1	0
313000	313111	1	0
313000	313112	1	0
313000	313113	1	0
313000	313114	1	0
313000	313115	1	0
313000	313116	1	0
313000	313117	1	0
313000	313118	1	0
313000	313119	1	0
313000	313120	1	0
313000	313121	1	0
313000	313122	1	0
313000	313123	1	0
313000	313125	1	0
313000	313201	2	0
313000	313202	2	0
313000	313206	2	0
313000	313207	2	0
313000	313208	2	0
313000	313209	2	0
313000	313210	2	0
313000	313211	2	0
315001	315205	1	0
315001	315112	2	0
315001	315117	2	0
315001	315118	2	0
315001	315115	2	0
315001	315116	2	0
315001	315113	2	0
315001	315114	2	0
315001	701120	1	0
315001	701121	1	0
315002	315205	1	0
315002	315201	3	0
315002	315202	3	0
315002	315112	1	0
315002	315117	1	0
315002	315118	1	0
315002	315115	1	0
315002	315116	1	0
315002	315113	1	0
315002	315114	1	0
315002	701120	1	0
315002	701121	1	0
315002	315101	1	0
315002	315102	1	0
315002	315103	1	0
315002	315109	1	0
315002	315105	1	0
315002	315110	1	0
315002	315107	1	0
315002	315108	1	0
315002	315104	1	0
315002	315106	1	0
315002	315111	1	0
