319000	319101	2	0
319000	319102	2	0
319000	319103	2	0
319000	319104	2	0
319000	319202	3	0
319000	319203	3	0
319000	319204	3	0
319000	319205	3	0
319000	319206	3	0
319000	319207	3	0
319000	316105	1	0
319000	316106	1	0
319000	316107	1	0
319000	308104	1	100
319000	308105	1	100
319000	308106	1	100
319000	308107	1	100
319001	319101	2	0
319001	319102	2	0
319001	319103	2	0
319001	319104	2	0
319001	319202	3	0
319001	319203	3	0
319001	319204	3	0
319001	319205	3	0
319001	319206	3	0
319001	319207	3	0
319001	319202	1	100
319001	319203	1	100
319001	319204	1	100
319001	319205	1	100
319001	319206	1	100
319001	319207	1	100
319001	316105	1	0
319001	316106	1	0
319001	316107	1	0
